index,date,tempm,pressurem,hum,dewptm,conds
0,2010-01-01 00:00:00,8.0,1016.0,93.0,8.0,0
1,2010-01-01 03:00:00,9.0,1018.0,95.0,8.0,0
2,2010-01-01 06:00:00,18.0,1018.0,55.0,11.0,1
3,2010-01-01 09:00:00,21.0,1016.0,43.0,11.0,1
4,2010-01-01 12:00:00,19.0,1016.0,54.0,12.0,1
5,2010-01-01 15:00:00,13.0,1018.0,95.0,13.0,2
6,2010-01-01 18:00:00,11.0,1019.0,92.0,10.0,3
7,2010-01-01 21:00:00,10.0,1019.0,98.0,10.0,4
8,2010-01-02 00:00:00,9.0,1019.0,96.0,9.0,5
9,2010-01-02 03:00:00,10.0,1021.0,98.0,10.0,5
10,2010-01-02 06:00:00,11.0,1022.0,90.0,10.0,5
11,2010-01-02 09:00:00,14.0,1020.0,75.0,11.0,0
12,2010-01-02 12:00:00,13.0,1020.0,89.0,12.0,5
13,2010-01-02 15:00:00,10.0,1021.0,95.0,10.0,5
14,2010-01-02 18:00:00,11.0,1021.0,95.0,11.0,5
15,2010-01-02 21:00:00,11.0,1019.0,97.0,11.0,5
16,2010-01-03 00:00:00,11.0,1019.0,95.0,11.0,5
17,2010-01-03 03:00:00,11.0,1019.0,87.0,10.0,0
18,2010-01-03 06:00:00,14.0,1020.0,76.0,11.0,5
19,2010-01-03 09:00:00,14.0,1018.0,87.0,13.0,6
20,2010-01-03 12:00:00,13.0,1019.0,97.0,13.0,7
21,2010-01-03 15:00:00,11.0,1019.0,94.0,10.0,2
22,2010-01-03 18:00:00,11.0,1019.0,94.0,10.0,2
23,2010-01-03 21:00:00,11.0,1019.0,92.0,10.0,0
24,2010-01-04 00:00:00,10.0,1018.0,95.0,9.0,2
25,2010-01-04 03:00:00,10.0,1020.0,88.0,9.0,2
26,2010-01-04 06:00:00,11.0,1021.0,88.0,9.0,2
27,2010-01-04 09:00:00,13.0,1017.0,73.0,10.0,2
28,2010-01-04 12:00:00,13.0,1016.0,77.0,10.0,2
29,2010-01-04 15:00:00,12.0,1016.0,86.0,10.0,2
30,2010-01-04 18:00:00,11.0,1016.0,89.0,10.0,2
31,2010-01-04 21:00:00,10.0,1014.0,92.0,10.0,3
32,2010-01-05 00:00:00,10.0,1014.0,98.0,10.0,3
33,2010-01-05 03:00:00,11.0,1015.0,90.0,9.0,3
34,2010-01-05 06:00:00,14.0,1016.0,75.0,10.0,2
35,2010-01-05 09:00:00,17.0,1014.0,57.0,10.0,1
36,2010-01-05 12:00:00,16.0,1013.0,65.0,11.0,1
37,2010-01-05 15:00:00,11.0,1015.0,93.0,10.0,2
38,2010-01-05 18:00:00,9.0,1016.0,97.0,9.0,3
39,2010-01-05 21:00:00,9.0,1015.0,99.0,8.0,3
40,2010-01-06 00:00:00,6.0,1016.0,94.0,6.0,0
41,2010-01-06 03:00:00,6.0,1018.0,89.0,6.0,0
42,2010-01-06 06:00:00,16.0,1017.0,69.0,11.0,0
43,2010-01-06 09:00:00,18.0,1015.0,61.0,13.0,1
44,2010-01-06 12:00:00,15.0,1015.0,82.0,13.0,2
45,2010-01-06 15:00:00,12.0,1017.0,89.0,10.0,3
46,2010-01-06 18:00:00,9.0,1017.0,97.0,9.0,5
47,2010-01-06 21:00:00,9.0,1017.0,100.0,9.0,5
48,2010-01-07 00:00:00,10.0,1018.0,95.0,10.0,5
49,2010-01-07 03:00:00,10.0,1019.0,95.0,10.0,5
50,2010-01-07 06:00:00,12.0,1021.0,91.0,11.0,5
51,2010-01-07 09:00:00,18.0,1017.0,59.0,12.0,1
52,2010-01-07 12:00:00,16.0,1017.0,75.0,13.0,4
53,2010-01-07 15:00:00,11.0,1019.0,89.0,10.0,0
54,2010-01-07 18:00:00,10.0,1019.0,93.0,9.0,0
55,2010-01-07 21:00:00,10.0,1018.0,93.0,9.0,0
56,2010-01-08 00:00:00,9.0,1018.0,97.0,9.0,5
57,2010-01-08 03:00:00,9.0,1020.0,97.0,9.0,5
58,2010-01-08 06:00:00,11.0,1020.0,93.0,10.0,5
59,2010-01-08 09:00:00,13.0,1018.0,81.0,10.0,5
60,2010-01-08 12:00:00,12.0,1017.0,84.0,10.0,5
61,2010-01-08 15:00:00,11.0,1018.0,84.0,10.0,5
62,2010-01-08 18:00:00,11.0,1018.0,92.0,10.0,5
63,2010-01-08 21:00:00,11.0,1018.0,90.0,9.0,5
64,2010-01-09 00:00:00,10.0,1017.0,88.0,9.0,5
65,2010-01-09 03:00:00,11.0,1019.0,87.0,9.0,3
66,2010-01-09 06:00:00,14.0,1019.0,61.0,8.0,4
67,2010-01-09 09:00:00,18.0,1016.0,45.0,9.0,1
68,2010-01-09 12:00:00,13.0,1016.0,74.0,10.0,2
69,2010-01-09 15:00:00,11.0,1018.0,85.0,9.0,2
70,2010-01-09 18:00:00,10.0,1019.0,91.0,8.0,2
71,2010-01-09 21:00:00,9.0,1018.0,94.0,8.0,2
72,2010-01-10 00:00:00,9.0,1018.0,95.0,8.0,4
73,2010-01-10 03:00:00,9.0,1020.0,91.0,7.0,0
74,2010-01-10 06:00:00,10.0,1020.0,69.0,7.0,2
75,2010-01-10 09:00:00,12.0,1019.0,71.0,8.0,2
76,2010-01-10 12:00:00,11.0,1018.0,74.0,7.0,2
77,2010-01-10 15:00:00,9.0,1020.0,83.0,7.0,2
78,2010-01-10 18:00:00,8.0,1020.0,82.0,6.0,2
79,2010-01-10 21:00:00,8.0,1020.0,85.0,6.0,2
80,2010-01-11 00:00:00,7.0,1019.0,88.0,6.0,3
81,2010-01-11 03:00:00,7.0,1021.0,82.0,5.0,3
82,2010-01-11 06:00:00,10.0,1021.0,68.0,6.0,2
83,2010-01-11 09:00:00,14.0,1017.0,46.0,6.0,1
84,2010-01-11 12:00:00,12.0,1017.0,62.0,7.0,1
