date,tem
2020-01-01 02:00:00,-18.6
2020-01-01 05:00:00,-9.1
2020-01-01 08:00:00,-6.7
2020-01-01 11:00:00,-7.7
2020-01-01 14:00:00,-9.3
2020-01-01 17:00:00,-11.3
2020-01-01 20:00:00,-11.3
2020-01-01 23:00:00,-13.7
2020-01-02 02:00:00,-15.8
2020-01-02 05:00:00,-9.7
2020-01-02 08:00:00,-8.1
2020-01-02 11:00:00,-7.9
2020-01-02 14:00:00,-10.2
2020-01-02 17:00:00,-12.0
2020-01-02 20:00:00,-13.7
2020-01-02 23:00:00,-17.6
2020-01-03 02:00:00,-19.7
2020-01-03 05:00:00,-11.3
2020-01-03 08:00:00,-7.2
2020-01-03 11:00:00,-7.1
2020-01-03 14:00:00,-11.6
2020-01-03 17:00:00,-12.5
2020-01-03 20:00:00,-13.0
2020-01-03 23:00:00,-12.3
2020-01-04 02:00:00,-14.4
2020-01-04 05:00:00,-9.8
2020-01-04 08:00:00,-8.0
2020-01-04 11:00:00,-9.6
2020-01-04 14:00:00,-12.3
2020-01-04 17:00:00,-13.3
2020-01-04 20:00:00,-14.7
2020-01-04 23:00:00,-15.0
2020-01-05 02:00:00,-19.2
2020-01-05 05:00:00,-11.9
2020-01-05 08:00:00,-8.7
2020-01-05 11:00:00,-7.7
2020-01-05 14:00:00,-10.5
2020-01-05 17:00:00,-12.2
2020-01-05 20:00:00,-11.7
2020-01-05 23:00:00,-12.2
2020-01-06 02:00:00,-11.6
2020-01-06 05:00:00,-8.0
2020-01-06 08:00:00,-3.5
2020-01-06 11:00:00,-1.3
2020-01-06 14:00:00,-4.7
2020-01-06 17:00:00,-5.3
2020-01-06 20:00:00,-6.3
2020-01-06 23:00:00,-7.0
2020-01-07 02:00:00,-10.4
2020-01-07 05:00:00,-3.0
2020-01-07 08:00:00,-2.7
2020-01-07 11:00:00,-4.3
2020-01-07 14:00:00,-6.6
2020-01-07 17:00:00,-5.8
2020-01-07 20:00:00,-8.5
2020-01-07 23:00:00,-9.8
2020-01-08 02:00:00,-9.5
